iter	RMSE
934	73197.73965
935	73154.70794
936	73131.25381
937	73096.67081
938	73096.35649
939	73064.54832
940	73049.62962
941	73030.56593
942	73000.25145
943	72984.40777
944	72964.06959
945	72940.08123
946	72920.04212
947	72884.65428
948	72866.15111
949	72864.09098
950	72844.96205
951	72808.81903
952	72794.22269
953	72764.5749
954	72744.71993
955	72716.69796
956	72687.77235
957	72648.51001
958	72617.1812
959	72583.85355
960	72551.15788
961	72529.35069
962	72504.97818
963	72489.32679
964	72449.37557
965	72438.67905
966	72427.27976
967	72406.91357
968	72388.4436
969	72377.39674
970	72354.98967
971	72330.06426
972	72303.02514
973	72280.78254
974	72275.11739
975	72232.60369
976	72209.5925
977	72203.95799
978	72181.69157
979	72181.37397
980	72151.69903
981	72138.9523
982	72107.24999
983	72091.35843
984	72087.34207
985	72059.97915
986	72021.591
987	72021.25421
988	72020.91067
989	72020.47528
990	72020.17218
991	72009.03765
992	72006.96609
993	71983.87082
994	71967.59854
995	71967.30099
996	71944.09509
997	71943.32896
998	71917.85688
999	71917.28367
